transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00534,B03,Chennai B03,Chennai,02-05-2025,784.99,FAILED,TRANSFER,7516,Invalid account,State Bank of India (SBI),84479
TXN00461,B03,Chennai B03,Chennai,04-05-2025,4898.66,FAILED,DEPOSIT,9228,Account blocked,State Bank of India (SBI),78508
TXN00543,B03,Chennai B03,Chennai,02-05-2025,1042.67,FAILED,WITHDRAWAL,3165,Account blocked,State Bank of India (SBI),75402
TXN00528,B03,Chennai B03,Chennai,06-05-2025,3077.31,FAILED,TRANSFER,2560,Invalid account,State Bank of India (SBI),13774
TXN00120,B03,Chennai B03,Chennai,08-05-2025,4323.09,SUCCESS,WITHDRAWAL,2729,,State Bank of India (SBI),69953
TXN00405,B03,Chennai B03,Chennai,08-05-2025,2303.75,SUCCESS,DEPOSIT,4027,,State Bank of India (SBI),72239
TXN00253,B03,Chennai B03,Chennai,08-05-2025,1492.33,SUCCESS,TRANSFER,1897,,State Bank of India (SBI),83360
TXN00269,B03,Chennai B03,Chennai,07-05-2025,2478.93,SUCCESS,WITHDRAWAL,8245,,State Bank of India (SBI),85396
TXN00257,B03,Chennai B03,Chennai,08-05-2025,2286.82,SUCCESS,TRANSFER,1693,,State Bank of India (SBI),80590
TXN00216,B03,Chennai B03,Chennai,07-05-2025,2495.22,SUCCESS,DEPOSIT,6942,,State Bank of India (SBI),05892
TXN00375,B03,Chennai B03,Chennai,02-05-2025,4544.45,SUCCESS,TRANSFER,1436,,State Bank of India (SBI),88967
TXN00026,B03,Chennai B03,Chennai,02-05-2025,3375.27,SUCCESS,TRANSFER,4258,,State Bank of India (SBI),67506
TXN00603,B03,Chennai B03,Chennai,02-05-2025,3127.95,FAILED,DEPOSIT,3615,Insufficient funds,State Bank of India (SBI),16741
TXN00206,B03,Chennai B03,Chennai,08-05-2025,4058.07,SUCCESS,DEPOSIT,5332,,State Bank of India (SBI),62328
TXN00636,B03,Chennai B03,Chennai,02-05-2025,2936.52,FAILED,TRANSFER,4727,Transaction limit exceeded,State Bank of India (SBI),98924
TXN00180,B03,Chennai B03,Chennai,02-05-2025,951.64,SUCCESS,WITHDRAWAL,2633,,State Bank of India (SBI),54720
TXN00173,B03,Chennai B03,Chennai,02-05-2025,511.54,SUCCESS,TRANSFER,5891,,State Bank of India (SBI),66989
TXN00463,B03,Chennai B03,Chennai,02-05-2025,2094.98,FAILED,WITHDRAWAL,2294,Timeout error,State Bank of India (SBI),62855
TXN00009,B03,Chennai B03,Chennai,02-05-2025,3328.88,SUCCESS,WITHDRAWAL,4150,,State Bank of India (SBI),04113
TXN00223,B03,Chennai B03,Chennai,02-05-2025,1285.24,SUCCESS,TRANSFER,1422,,State Bank of India (SBI),78166
TXN00054,B03,Chennai B03,Chennai,07-05-2025,1695.27,SUCCESS,DEPOSIT,5915,,State Bank of India (SBI),72560
TXN00614,B03,Chennai B03,Chennai,07-05-2025,3682.32,FAILED,TRANSFER,6846,Invalid account,State Bank of India (SBI),97961
TXN00527,B03,Chennai B03,Chennai,04-05-2025,1764.88,FAILED,TRANSFER,3758,Timeout error,State Bank of India (SBI),69772
TXN00244,B03,Chennai B03,Chennai,08-05-2025,1311.87,SUCCESS,TRANSFER,6062,,State Bank of India (SBI),83676
TXN00473,B03,Chennai B03,Chennai,08-05-2025,939.59,FAILED,DEPOSIT,2245,Timeout error,State Bank of India (SBI),58932
TXN00082,B03,Chennai B03,Chennai,03-05-2025,2337.77,SUCCESS,WITHDRAWAL,5844,,State Bank of India (SBI),04671
TXN00270,B03,Chennai B03,Chennai,02-05-2025,1736.03,SUCCESS,DEPOSIT,6766,,State Bank of India (SBI),03733
TXN00685,B03,Chennai B03,Chennai,06-05-2025,1080.19,FAILED,WITHDRAWAL,9246,Transaction limit exceeded,State Bank of India (SBI),85869
TXN00062,B03,Chennai B03,Chennai,04-05-2025,2698.39,SUCCESS,DEPOSIT,2512,,State Bank of India (SBI),03111
TXN00438,B03,Chennai B03,Chennai,03-05-2025,2373.46,SUCCESS,DEPOSIT,5913,,State Bank of India (SBI),85194
