transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00249,B02,Kadapa B02,Kadapa,07-05-2025,3894.96,SUCCESS,DEPOSIT,2336,,State Bank of India (SBI),01587
TXN00225,B02,Kadapa B02,Kadapa,06-05-2025,735.8,SUCCESS,TRANSFER,7897,,State Bank of India (SBI),48167
TXN00088,B02,Kadapa B02,Kadapa,03-05-2025,1896.89,SUCCESS,DEPOSIT,3414,,State Bank of India (SBI),78480
TXN00286,B02,Kadapa B02,Kadapa,07-05-2025,847.24,SUCCESS,DEPOSIT,9317,,State Bank of India (SBI),17506
TXN00256,B02,Kadapa B02,Kadapa,05-05-2025,2896.62,SUCCESS,DEPOSIT,9196,,State Bank of India (SBI),26828
TXN00135,B02,Kadapa B02,Kadapa,03-05-2025,2678.89,SUCCESS,TRANSFER,9595,,State Bank of India (SBI),57192
TXN00219,B02,Kadapa B02,Kadapa,03-05-2025,3377.72,SUCCESS,DEPOSIT,1828,,State Bank of India (SBI),61839
TXN00015,B02,Kadapa B02,Kadapa,02-05-2025,644.45,SUCCESS,WITHDRAWAL,7572,,State Bank of India (SBI),09222
TXN00446,B02,Kadapa B02,Kadapa,07-05-2025,4829.35,SUCCESS,DEPOSIT,8846,,State Bank of India (SBI),74266
TXN00254,B02,Kadapa B02,Kadapa,06-05-2025,4753.96,SUCCESS,DEPOSIT,5186,,State Bank of India (SBI),36617
TXN00070,B02,Kadapa B02,Kadapa,03-05-2025,4660.19,SUCCESS,WITHDRAWAL,5065,,State Bank of India (SBI),01532
TXN00525,B02,Kadapa B02,Kadapa,02-05-2025,3819.26,FAILED,TRANSFER,6744,Transaction limit exceeded,State Bank of India (SBI),16475
TXN00304,B02,Kadapa B02,Kadapa,05-05-2025,3375.28,SUCCESS,TRANSFER,8489,,State Bank of India (SBI),97754
TXN00168,B02,Kadapa B02,Kadapa,02-05-2025,4608.18,SUCCESS,WITHDRAWAL,2924,,State Bank of India (SBI),44317
TXN00334,B02,Kadapa B02,Kadapa,02-05-2025,833.23,SUCCESS,DEPOSIT,8292,,State Bank of India (SBI),88303
TXN00146,B02,Kadapa B02,Kadapa,06-05-2025,3471.93,SUCCESS,DEPOSIT,4929,,State Bank of India (SBI),37888
TXN00042,B02,Kadapa B02,Kadapa,04-05-2025,2518.76,SUCCESS,WITHDRAWAL,4006,,State Bank of India (SBI),86615
TXN00604,B02,Kadapa B02,Kadapa,06-05-2025,2901.6,FAILED,TRANSFER,1916,Invalid account,State Bank of India (SBI),14000
TXN00668,B02,Kadapa B02,Kadapa,04-05-2025,3944.63,FAILED,DEPOSIT,7620,Timeout error,State Bank of India (SBI),75757
TXN00102,B02,Kadapa B02,Kadapa,02-05-2025,2390.65,SUCCESS,TRANSFER,1320,,State Bank of India (SBI),50331
TXN00045,B02,Kadapa B02,Kadapa,07-05-2025,2328.86,SUCCESS,WITHDRAWAL,4502,,State Bank of India (SBI),59631
TXN00020,B02,Kadapa B02,Kadapa,04-05-2025,2720.82,SUCCESS,DEPOSIT,2796,,State Bank of India (SBI),19595
TXN00034,B02,Kadapa B02,Kadapa,08-05-2025,2021.39,SUCCESS,TRANSFER,4770,,State Bank of India (SBI),93898
TXN00358,B02,Kadapa B02,Kadapa,02-05-2025,1973.46,SUCCESS,TRANSFER,6123,,State Bank of India (SBI),21997
TXN00113,B02,Kadapa B02,Kadapa,02-05-2025,591.71,SUCCESS,DEPOSIT,4908,,State Bank of India (SBI),73268
TXN00588,B02,Kadapa B02,Kadapa,02-05-2025,4354.58,FAILED,DEPOSIT,2494,Invalid account,State Bank of India (SBI),36270
TXN00300,B02,Kadapa B02,Kadapa,08-05-2025,1790.96,SUCCESS,WITHDRAWAL,3273,,State Bank of India (SBI),39469
TXN00143,B02,Kadapa B02,Kadapa,08-05-2025,3011.33,SUCCESS,WITHDRAWAL,4697,,State Bank of India (SBI),46486
TXN00021,B02,Kadapa B02,Kadapa,02-05-2025,3562.17,SUCCESS,TRANSFER,2040,,State Bank of India (SBI),23993
TXN00678,B02,Kadapa B02,Kadapa,07-05-2025,4965.57,FAILED,WITHDRAWAL,7704,Transaction limit exceeded,State Bank of India (SBI),53979
TXN00592,B02,Kadapa B02,Kadapa,07-05-2025,4206.53,FAILED,WITHDRAWAL,2376,Transaction limit exceeded,State Bank of India (SBI),54697
TXN00645,B02,Kadapa B02,Kadapa,04-05-2025,3145.7,FAILED,DEPOSIT,2730,Transaction limit exceeded,State Bank of India (SBI),39942
TXN00553,B02,Kadapa B02,Kadapa,05-05-2025,3371.37,FAILED,DEPOSIT,9655,Insufficient funds,State Bank of India (SBI),37544
TXN00430,B02,Kadapa B02,Kadapa,08-05-2025,954.04,SUCCESS,DEPOSIT,8314,,State Bank of India (SBI),31629
TXN00544,B02,Kadapa B02,Kadapa,05-05-2025,901.99,FAILED,DEPOSIT,2690,Timeout error,State Bank of India (SBI),97495
TXN00246,B02,Kadapa B02,Kadapa,03-05-2025,3349.27,SUCCESS,DEPOSIT,2503,,State Bank of India (SBI),13723
TXN00327,B02,Kadapa B02,Kadapa,08-05-2025,1561.98,SUCCESS,TRANSFER,7001,,State Bank of India (SBI),57828
TXN00585,B02,Kadapa B02,Kadapa,08-05-2025,1239.69,FAILED,WITHDRAWAL,6145,Account blocked,State Bank of India (SBI),71000
TXN00068,B02,Kadapa B02,Kadapa,03-05-2025,962.57,SUCCESS,TRANSFER,7658,,State Bank of India (SBI),53831
TXN00378,B02,Kadapa B02,Kadapa,08-05-2025,3076.57,SUCCESS,TRANSFER,2800,,State Bank of India (SBI),10649
TXN00359,B02,Kadapa B02,Kadapa,05-05-2025,4981.86,SUCCESS,WITHDRAWAL,9171,,State Bank of India (SBI),52774
TXN00689,B02,Kadapa B02,Kadapa,07-05-2025,3803.34,FAILED,TRANSFER,9267,Invalid account,State Bank of India (SBI),48518
TXN00100,B02,Kadapa B02,Kadapa,07-05-2025,2223.66,SUCCESS,DEPOSIT,4505,,State Bank of India (SBI),45088
