transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00188,B01,Hyderabad B01,Hyderabad,06-05-2025,2113.09,SUCCESS,WITHDRAWAL,3385,"",State Bank of India (SBI),90211
TXN00202,B03,Kadapa B03,Kadapa,06-05-2025,3863.66,SUCCESS,DEPOSIT,4289,"",State Bank of India (SBI),82341
TXN00049,B03,Kadapa B03,Kadapa,08-05-2025,725.64,SUCCESS,WITHDRAWAL,9238,"",State Bank of India (SBI),85793
TXN00490,B03,Kadapa B03,Kadapa,05-05-2025,1761.35,FAILED,WITHDRAWAL,6980,Insufficient funds,State Bank of India (SBI),15628
TXN00303,B01,Hyderabad B01,Hyderabad,02-05-2025,1796.46,SUCCESS,WITHDRAWAL,2996,"",State Bank of India (SBI),7898
TXN00147,B05,Kadapa B05,Kadapa,08-05-2025,1204.4,SUCCESS,WITHDRAWAL,8381,"",State Bank of India (SBI),16122
TXN00299,B01,Kadapa B01,Kadapa,06-05-2025,4688.72,SUCCESS,TRANSFER,6493,"",State Bank of India (SBI),55157
TXN00641,B01,Hyderabad B01,Hyderabad,03-05-2025,2459.27,FAILED,TRANSFER,3422,Transaction limit exceeded,State Bank of India (SBI),89233
TXN00138,B01,Hyderabad B01,Hyderabad,08-05-2025,2990.12,SUCCESS,TRANSFER,3068,"",State Bank of India (SBI),40335
TXN00335,B03,Kadapa B03,Kadapa,03-05-2025,2063.41,SUCCESS,DEPOSIT,9882,"",State Bank of India (SBI),67800
TXN00101,B04,Kadapa B04,Kadapa,05-05-2025,1988.97,SUCCESS,WITHDRAWAL,7812,"",State Bank of India (SBI),64442
TXN00111,B04,Kadapa B04,Kadapa,08-05-2025,3870.61,SUCCESS,DEPOSIT,6733,"",State Bank of India (SBI),91393
TXN00116,B03,Kadapa B03,Kadapa,08-05-2025,3104.08,SUCCESS,WITHDRAWAL,7149,"",State Bank of India (SBI),81077
TXN00518,B04,Kadapa B04,Kadapa,07-05-2025,1378.08,FAILED,WITHDRAWAL,9281,Account blocked,State Bank of India (SBI),3359
TXN00591,B01,Hyderabad B01,Hyderabad,02-05-2025,4072.14,FAILED,DEPOSIT,1195,Insufficient funds,State Bank of India (SBI),62793
TXN00023,B01,Chennai B01,Chennai,03-05-2025,3743.25,SUCCESS,TRANSFER,9797,"",State Bank of India (SBI),38766
TXN00638,B04,Kadapa B04,Kadapa,06-05-2025,855.3,FAILED,TRANSFER,1568,Transaction limit exceeded,State Bank of India (SBI),26121
TXN00126,B04,Kadapa B04,Kadapa,02-05-2025,1962.56,SUCCESS,WITHDRAWAL,4475,"",State Bank of India (SBI),36274
TXN00002,B01,Kadapa B01,Kadapa,03-05-2025,3833.0,SUCCESS,TRANSFER,2424,"",State Bank of India (SBI),31768
