transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00490,B03,Kadapa B03,Kadapa,05-05-2025,1761.35,FAILED,WITHDRAWAL,6980,Insufficient funds,State Bank of India (SBI),15628
TXN00641,B01,Hyderabad B01,Hyderabad,03-05-2025,2459.27,FAILED,TRANSFER,3422,Transaction limit exceeded,State Bank of India (SBI),89233
TXN00518,B04,Kadapa B04,Kadapa,07-05-2025,1378.08,FAILED,WITHDRAWAL,9281,Account blocked,State Bank of India (SBI),3359
TXN00591,B01,Hyderabad B01,Hyderabad,02-05-2025,4072.14,FAILED,DEPOSIT,1195,Insufficient funds,State Bank of India (SBI),62793
TXN00638,B04,Kadapa B04,Kadapa,06-05-2025,855.3,FAILED,TRANSFER,1568,Transaction limit exceeded,State Bank of India (SBI),26121
TXN00637,B04,Kadapa B04,Kadapa,02-05-2025,2851.62,FAILED,TRANSFER,8779,Transaction limit exceeded,State Bank of India (SBI),92400
TXN00659,B03,Kadapa B03,Kadapa,03-05-2025,4238.92,FAILED,DEPOSIT,5670,Insufficient funds,State Bank of India (SBI),97814
TXN00578,B01,Hyderabad B01,Hyderabad,02-05-2025,3457.87,FAILED,TRANSFER,6038,Insufficient funds,State Bank of India (SBI),44926
TXN00586,B05,Kadapa B05,Kadapa,06-05-2025,4840.86,FAILED,DEPOSIT,8404,Timeout error,State Bank of India (SBI),80590
TXN00510,B05,Kadapa B05,Kadapa,07-05-2025,2146.07,FAILED,DEPOSIT,8496,Insufficient funds,State Bank of India (SBI),80649
TXN00514,B01,Hyderabad B01,Hyderabad,07-05-2025,2179.88,FAILED,DEPOSIT,9369,Account blocked,State Bank of India (SBI),45195
TXN00467,B04,Kadapa B04,Kadapa,02-05-2025,2452.59,FAILED,WITHDRAWAL,2562,Transaction limit exceeded,State Bank of India (SBI),43917
TXN00498,B01,Hyderabad B01,Hyderabad,08-05-2025,943.73,FAILED,DEPOSIT,9366,Transaction limit exceeded,State Bank of India (SBI),11479
TXN00497,B03,Kadapa B03,Kadapa,07-05-2025,3411.5,FAILED,DEPOSIT,7547,Timeout error,State Bank of India (SBI),93755
TXN00552,B01,Chennai B01,Chennai,02-05-2025,4540.61,FAILED,DEPOSIT,9108,Account blocked,State Bank of India (SBI),80487
TXN00557,B05,Hyderabad B05,Hyderabad,02-05-2025,2369.44,FAILED,TRANSFER,7590,Insufficient funds,State Bank of India (SBI),34598
TXN00651,B01,Hyderabad B01,Hyderabad,02-05-2025,1525.81,FAILED,WITHDRAWAL,8259,Timeout error,State Bank of India (SBI),71008
TXN00477,B01,Chennai B01,Chennai,08-05-2025,1705.87,FAILED,WITHDRAWAL,3527,Account blocked,State Bank of India (SBI),560
TXN00567,B05,Hyderabad B05,Hyderabad,06-05-2025,749.48,FAILED,TRANSFER,3734,Timeout error,State Bank of India (SBI),14045
TXN00460,B01,Kadapa B01,Kadapa,04-05-2025,2982.4,FAILED,DEPOSIT,1274,Transaction limit exceeded,State Bank of India (SBI),23024
TXN00540,B04,Kadapa B04,Kadapa,03-05-2025,1874.79,FAILED,TRANSFER,4836,Account blocked,State Bank of India (SBI),65439
TXN00538,B04,Kadapa B04,Kadapa,07-05-2025,4980.62,FAILED,DEPOSIT,5945,Invalid account,State Bank of India (SBI),26994
TXN00531,B05,Kadapa B05,Kadapa,03-05-2025,1709.23,FAILED,WITHDRAWAL,7146,Account blocked,State Bank of India (SBI),51156
TXN00600,B04,Kadapa B04,Kadapa,02-05-2025,3710.17,FAILED,WITHDRAWAL,9921,Account blocked,State Bank of India (SBI),50925
TXN00542,B05,Kadapa B05,Kadapa,07-05-2025,2837.5,FAILED,WITHDRAWAL,1152,Insufficient funds,State Bank of India (SBI),37039
TXN00496,B03,Kadapa B03,Kadapa,03-05-2025,4529.76,FAILED,TRANSFER,2392,Insufficient funds,State Bank of India (SBI),94716
TXN00690,B03,Kadapa B03,Kadapa,03-05-2025,3427.43,FAILED,DEPOSIT,7147,Timeout error,State Bank of India (SBI),41730
TXN00537,B04,Kadapa B04,Kadapa,08-05-2025,1059.07,FAILED,DEPOSIT,8230,Account blocked,State Bank of India (SBI),88533
TXN00562,B04,Kadapa B04,Kadapa,08-05-2025,2540.17,FAILED,TRANSFER,1901,Timeout error,State Bank of India (SBI),3018
TXN00524,B01,Hyderabad B01,Hyderabad,05-05-2025,1682.67,FAILED,DEPOSIT,8193,Insufficient funds,State Bank of India (SBI),74292
TXN00580,B01,Kadapa B01,Kadapa,07-05-2025,4537.79,FAILED,TRANSFER,7767,Timeout error,State Bank of India (SBI),2154
TXN00529,B01,Hyderabad B01,Hyderabad,06-05-2025,4401.71,FAILED,DEPOSIT,3174,Invalid account,State Bank of India (SBI),63264
TXN00522,B01,Chennai B01,Chennai,04-05-2025,1013.93,FAILED,TRANSFER,7010,Transaction limit exceeded,State Bank of India (SBI),59092
TXN00683,B01,Kadapa B01,Kadapa,04-05-2025,1397.36,FAILED,WITHDRAWAL,1230,Timeout error,State Bank of India (SBI),3068
TXN00501,B03,Kadapa B03,Kadapa,05-05-2025,4642.46,FAILED,DEPOSIT,2901,Invalid account,State Bank of India (SBI),16828
TXN00512,B05,Hyderabad B05,Hyderabad,08-05-2025,2065.66,FAILED,WITHDRAWAL,3826,Timeout error,State Bank of India (SBI),747
TXN00601,B05,Hyderabad B05,Hyderabad,04-05-2025,1947.22,FAILED,WITHDRAWAL,3946,Insufficient funds,State Bank of India (SBI),20079
TXN00581,B01,Hyderabad B01,Hyderabad,04-05-2025,930.1,FAILED,DEPOSIT,7461,Insufficient funds,State Bank of India (SBI),65641
TXN00632,B03,Kadapa B03,Kadapa,02-05-2025,2288.6,FAILED,WITHDRAWAL,5341,Insufficient funds,State Bank of India (SBI),64091
TXN00655,B01,Chennai B01,Chennai,07-05-2025,1367.44,FAILED,DEPOSIT,1944,Invalid account,State Bank of India (SBI),21765
TXN00611,B05,Kadapa B05,Kadapa,03-05-2025,4627.51,FAILED,DEPOSIT,9622,Timeout error,State Bank of India (SBI),43269
TXN00573,B05,Kadapa B05,Kadapa,08-05-2025,4793.36,FAILED,DEPOSIT,8620,Timeout error,State Bank of India (SBI),31269
TXN00630,B03,Kadapa B03,Kadapa,08-05-2025,2424.23,FAILED,WITHDRAWAL,8869,Invalid account,State Bank of India (SBI),4751
TXN00560,B05,Hyderabad B05,Hyderabad,03-05-2025,3934.51,FAILED,TRANSFER,2083,Timeout error,State Bank of India (SBI),25359
TXN00674,B01,Chennai B01,Chennai,07-05-2025,2098.78,FAILED,TRANSFER,6031,Account blocked,State Bank of India (SBI),64245
TXN00541,B01,Chennai B01,Chennai,03-05-2025,928.33,FAILED,DEPOSIT,8812,Insufficient funds,State Bank of India (SBI),53502
TXN00465,B01,Chennai B01,Chennai,03-05-2025,4962.54,FAILED,TRANSFER,1519,Insufficient funds,State Bank of India (SBI),92244
TXN00456,B05,Kadapa B05,Kadapa,05-05-2025,1328.21,FAILED,TRANSFER,1962,Transaction limit exceeded,State Bank of India (SBI),98112
TXN00506,B05,Kadapa B05,Kadapa,07-05-2025,1989.45,FAILED,WITHDRAWAL,8570,Invalid account,State Bank of India (SBI),62669
TXN00650,B01,Hyderabad B01,Hyderabad,06-05-2025,4178.24,FAILED,WITHDRAWAL,6094,Timeout error,State Bank of India (SBI),31369
TXN00577,B01,Kadapa B01,Kadapa,05-05-2025,607.6,FAILED,TRANSFER,6675,Insufficient funds,State Bank of India (SBI),12389
TXN00470,B01,Hyderabad B01,Hyderabad,07-05-2025,3141.66,FAILED,TRANSFER,7525,Insufficient funds,State Bank of India (SBI),66692
TXN00574,B03,Hyderabad B03,Hyderabad,08-05-2025,2988.91,FAILED,DEPOSIT,7044,Invalid account,State Bank of India (SBI),19795
